genre,title,author,average_rating,publication_year,link
romance,icebreaker ucmh 1,Hannah  Grace,3.75,2022,https://www.goodreads.com/book/show/61767292-icebreaker
romance,the deal offcampus 1,Elle Kennedy,4.21,2015,https://www.goodreads.com/book/show/45484397-the-deal
romance,love theoretically,Ali Hazelwood,4.08,2023,https://www.goodreads.com/book/show/61326735-love-theoretically
romance,the duke and i bridgertons 1,Julia Quinn,3.8,2000,https://www.goodreads.com/book/show/110391.The_Duke_and_I
romance,love on the brain,Ali Hazelwood,3.9,2022,https://www.goodreads.com/book/show/59571699-love-on-the-brain
romance,me before you me before you 1,Jojo Moyes,4.26,2012,https://www.goodreads.com/book/show/17347634-me-before-you
romance,the selection the selection 1,Kiera Cass,4.07,2012,https://www.goodreads.com/book/show/10507293-the-selection
romance,it happened one summer bellinger sisters 1,Tessa Bailey,3.9,2021,https://www.goodreads.com/book/show/55659629-it-happened-one-summer
romance,better than the movies better than the movies 1,Lynn Painter,4.26,2021,https://www.goodreads.com/book/show/55710822-better-than-the-movies
romance,fifty shades of grey fifty shades 1,E.L. James,3.67,2011,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey
romance,new moon the twilight saga 2,Stephenie Meyer,3.62,2006,https://www.goodreads.com/book/show/49041.New_Moon
romance,love and other words,Christina Lauren,4.22,2018,https://www.goodreads.com/book/show/36206591-love-and-other-words
romance,the song of achilles,Madeline Miller,4.31,2011,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
romance,eclipse the twilight saga 3,Stephenie Meyer,3.74,2007,https://www.goodreads.com/book/show/428263.Eclipse
romance,eleanor park,Rainbow Rowell,3.93,2012,https://www.goodreads.com/book/show/15745753-eleanor-park
romance,outlander outlander 1,Diana Gabaldon,4.26,1991,https://www.goodreads.com/book/show/10964.Outlander
romance,breaking dawn the twilight saga 4,Stephenie Meyer,3.76,2008,https://www.goodreads.com/book/show/1162543.Breaking_Dawn
romance,part of your world part of your world 1,Abby Jimenez,4.26,2022,https://www.goodreads.com/book/show/58684524-part-of-your-world
romance,to all the boys ive loved before to all the boys ive loved before 1,Jenny Han,4.04,2014,https://www.goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before
romance,get a life chloe brown the brown sisters 1,Talia Hibbert,3.79,2019,https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown
romance,the notebook the notebook 1,Nicholas Sparks,4.16,1996,https://www.goodreads.com/book/show/33648131-the-notebook
romance,jane eyre,Charlotte Brontë,4.16,1847,https://www.goodreads.com/book/show/10210.Jane_Eyre
romance,just for the summer part of your world 3,Abby Jimenez,4.35,2024,https://www.goodreads.com/book/show/195820807-just-for-the-summer
romance,the viscount who loved me bridgertons 2,Julia Quinn,3.99,2000,https://www.goodreads.com/book/show/861326.The_Viscount_Who_Loved_Me
romance,heartstopper volume one heartstopper 1,Alice Oseman,4.42,2018,https://www.goodreads.com/book/show/40495957-heartstopper
romance,twisted games twisted 2,Ana Huang,4.08,2021,https://www.goodreads.com/book/show/62056013-twisted-games
romance,the flatshare,Beth O'Leary,3.98,2019,https://www.goodreads.com/book/show/36478784-the-flatshare
romance,the fine print dreamland billionaires 1,Lauren Asher,3.81,2021,https://www.goodreads.com/book/show/74045390-the-fine-print
fiction,1984,George Orwell,4.2,1949,https://www.goodreads.com/book/show/61439040-1984
fiction,to kill a mockingbird,Harper Lee,4.26,1960,https://www.goodreads.com/book/show/56916837-to-kill-a-mockingbird
fiction,the great gatsby,F. Scott Fitzgerald,3.93,1925,https://www.goodreads.com/book/show/41733839-the-great-gatsby
fiction,animal farm,George Orwell,4.01,1945,https://www.goodreads.com/book/show/170448.Animal_Farm
fiction,the catcher in the rye,J.D. Salinger,3.8,1951,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
fiction,the hunger games the hunger games 1,Suzanne Collins,4.35,2008,https://www.goodreads.com/book/show/2767052-the-hunger-games
fiction,the alchemist,Paulo Coelho,3.92,1988,https://www.goodreads.com/book/show/18144590-the-alchemist
fiction,the handmaids tale the seminal work of dystopian feminist fiction,Margaret Atwood,4.15,1985,https://www.goodreads.com/book/show/34454589-the-handmaid-s-tale
fiction,the kite runner,Khaled Hosseini,4.35,2003,https://www.goodreads.com/book/show/17165596-the-kite-runner
fiction,fahrenheit 451,Ray Bradbury,3.97,1953,https://www.goodreads.com/book/show/13079982-fahrenheit-451
fiction,lord of the flies,William Golding,3.7,1954,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
fiction,the da vinci code robert langdon 2,Dan    Brown,3.93,2003,https://www.goodreads.com/book/show/55019161-the-da-vinci-code
fiction,brave new world,Aldous Huxley,3.99,1932,https://www.goodreads.com/book/show/5129.Brave_New_World
fiction,the book thief,Markus Zusak,4.39,2005,https://www.goodreads.com/book/show/19063.The_Book_Thief
fiction,the midnight library,Matt Haig,3.98,2020,https://www.goodreads.com/book/show/52578297-the-midnight-library
fiction,of mice and men,John Steinbeck,3.89,1937,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
fiction,catching fire the hunger games 2,Suzanne Collins,4.35,2009,https://www.goodreads.com/book/show/6148028-catching-fire
fiction,where the crawdads sing,Delia Owens,4.37,2018,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing
fiction,slaughterhousefive,Kurt Vonnegut Jr.,4.1,1969,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
fiction,the girl with the dragon tattoo millennium 1,Stieg Larsson,4.17,2005,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
fiction,mockingjay the hunger games 3,Suzanne Collins,4.12,2010,https://www.goodreads.com/book/show/7260188-mockingjay
fiction,life of pi,Yann Martel,3.94,2001,https://www.goodreads.com/book/show/4214.Life_of_Pi
fiction,the picture of dorian gray,Oscar Wilde,4.13,1890,https://www.goodreads.com/book/show/489732.The_Picture_of_Dorian_Gray
fiction,the curious incident of the dog in the nighttime,Mark Haddon,3.89,2003,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
fiction,all the light we cannot see,Anthony Doerr,4.31,2014,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
fiction,gone girl,Gillian Flynn,4.14,2012,https://www.goodreads.com/book/show/19288043-gone-girl
fiction,frankenstein the 1818 text,Mary Wollstonecraft Shelley,3.9,1818,https://www.goodreads.com/book/show/35031085-frankenstein
fiction,the help,Kathryn Stockett,4.47,2009,https://www.goodreads.com/book/show/4667024-the-help
fiction,one hundred years of solitude,Gabriel García Márquez,4.12,1967,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
fiction,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1,Douglas Adams,4.22,1979,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
fiction,angels demons robert langdon 1,Dan    Brown,3.95,2000,https://www.goodreads.com/book/show/960.Angels_Demons
fiction,the stranger,Albert Camus,4.03,1942,https://www.goodreads.com/book/show/49552.The_Stranger
fiction,the road,Cormac McCarthy,4.0,2006,https://www.goodreads.com/book/show/6288.The_Road
fiction,dune dune 1,Frank Herbert,4.29,1965,https://www.goodreads.com/book/show/44767458-dune
fiction,a man called ove,Fredrik Backman,4.38,2012,https://www.goodreads.com/book/show/18774964-a-man-called-ove
fiction,wuthering heights,Emily Brontë,3.9,1847,https://www.goodreads.com/book/show/32929156-wuthering-heights
fiction,crime and punishment,Fyodor Dostoevsky,4.28,1866,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
non-fiction,sapiens a brief history of humankind,Yuval Noah Harari,4.34,2011,https://www.goodreads.com/book/show/23692271-sapiens
non-fiction,the diary of a young girl,Anne Frank,4.2,1947,https://www.goodreads.com/book/show/127441416-the-diary-of-a-young-girl
non-fiction,educated,Tara Westover,4.47,2018,https://www.goodreads.com/book/show/35133922-educated
non-fiction,quiet the power of introverts in a world that cant stop talking,Susan Cain,4.08,2012,https://www.goodreads.com/book/show/8520610-quiet
non-fiction,atomic habits an easy proven way to build good habits break bad ones,James Clear,4.33,2018,https://www.goodreads.com/book/show/40121378-atomic-habits
non-fiction,the immortal life of henrietta lacks,Rebecca Skloot,4.13,2010,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks
non-fiction,im glad my mom died,Jennette McCurdy,4.44,2022,https://www.goodreads.com/book/show/59366244-i-m-glad-my-mom-died
non-fiction,freakonomics a rogue economist explores the hidden side of everything,Steven D. Levitt,4.01,2005,https://www.goodreads.com/book/show/1202.Freakonomics
non-fiction,outliers the story of success,Malcolm Gladwell,4.19,2008,https://www.goodreads.com/book/show/3228917-outliers
non-fiction,becoming,Michelle Obama,4.44,2018,https://www.goodreads.com/book/show/38746485-becoming
non-fiction,the devil in the white city murder magic and madness at the fair that changed america,Erik Larson,4.0,2003,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
non-fiction,the subtle art of not giving a fck a counterintuitive approach to living a good life,Mark Manson,3.87,2016,https://www.goodreads.com/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck
non-fiction,a short history of nearly everything,Bill Bryson,4.22,2003,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
non-fiction,mans search for meaning,Viktor E. Frankl,4.37,1946,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
non-fiction,we should all be feminists,Chimamanda Ngozi Adichie,4.39,2012,https://www.goodreads.com/book/show/22738563-we-should-all-be-feminists
non-fiction,born a crime stories from a south african childhood,Trevor Noah,4.49,2016,https://www.goodreads.com/book/show/29780253-born-a-crime
non-fiction,thinking fast and slow,Daniel Kahneman,4.17,2011,https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow
non-fiction,into the wild,Jon Krakauer,4.02,1996,https://www.goodreads.com/book/show/60869516-into-the-wild
non-fiction,night,Elie Wiesel,4.38,1956,https://www.goodreads.com/book/show/1617.Night
non-fiction,when breath becomes air,Paul Kalanithi,4.41,2016,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air
non-fiction,guns germs and steel the fates of human societies,Jared Diamond,4.04,1997,https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel
non-fiction,in cold blood,Truman Capote,4.09,1966,https://www.goodreads.com/book/show/168642.In_Cold_Blood
non-fiction,between the world and me,Ta-Nehisi Coates,4.4,2015,https://www.goodreads.com/book/show/25489625-between-the-world-and-me
non-fiction,the tipping point how little things can make a big difference,Malcolm Gladwell,4.01,2000,https://www.goodreads.com/book/show/2612.The_Tipping_Point
non-fiction,invisible women data bias in a world designed for men,Caroline Criado Pérez,4.34,2019,https://www.goodreads.com/book/show/41104077-invisible-women
non-fiction,blink the power of thinking without thinking,Malcolm Gladwell,3.96,2005,https://www.goodreads.com/book/show/40102.Blink
non-fiction,killers of the flower moon the osage murders and the birth of the fbi,David Grann,4.14,2017,https://www.goodreads.com/book/show/193388249-killers-of-the-flower-moon
non-fiction,into thin air a personal account of the mt everest disaster,Jon Krakauer,4.26,1997,https://www.goodreads.com/book/show/1898.Into_Thin_Air
non-fiction,stiff the curious lives of human cadavers,Mary Roach,4.06,2003,https://www.goodreads.com/book/show/56769575-stiff
non-fiction,a brief history of time,Stephen Hawking,4.21,1988,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time
non-fiction,the glass castle,Jeannette Walls,4.33,2005,https://www.goodreads.com/book/show/7445.The_Glass_Castle
non-fiction,on writing a memoir of the craft,Stephen        King,4.34,2000,https://www.goodreads.com/book/show/10569.On_Writing
non-fiction,bossypants,Tina Fey,3.96,2011,https://www.goodreads.com/book/show/9418327-bossypants
non-fiction,the lifechanging magic of tidying up the japanese art of decluttering and organizing,Marie Kondō,3.88,2010,https://www.goodreads.com/book/show/22318578-the-life-changing-magic-of-tidying-up
non-fiction,unbroken a world war ii story of survival resilience and redemption,Laura Hillenbrand,4.39,2010,https://www.goodreads.com/book/show/8664353-unbroken
non-fiction,wild from lost to found on the pacific crest trail,Cheryl Strayed,4.07,2012,https://www.goodreads.com/book/show/12262741-wild
non-fiction,the power of habit why we do what we do in life and business,Charles Duhigg,4.13,2012,https://www.goodreads.com/book/show/12609433-the-power-of-habit
non-fiction,ill be gone in the dark one womans obsessive search for the golden state killer,Michelle McNamara,4.11,2018,https://www.goodreads.com/book/show/35068432-i-ll-be-gone-in-the-dark
non-fiction,crying in h mart,Michelle Zauner,4.24,2021,https://www.goodreads.com/book/show/54814676-crying-in-h-mart
non-fiction,i am malala the story of the girl who stood up for education and was shot by the taliban,Malala Yousafzai,4.16,2012,https://www.goodreads.com/book/show/17851885-i-am-malala
non-fiction,how to win friends influence people,Dale Carnegie,4.22,1936,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_Influence_People
non-fiction,a walk in the woods rediscovering america on the appalachian trail,Bill Bryson,4.07,1998,https://www.goodreads.com/book/show/9791.A_Walk_in_the_Woods
non-fiction,homo deus a history of tomorrow,Yuval Noah Harari,4.19,2015,https://www.goodreads.com/book/show/31138556-homo-deus
non-fiction,the man who mistook his wife for a hat and other clinical tales,Oliver Sacks,4.05,1985,https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales
non-fiction,why we sleep unlocking the power of sleep and dreams,Matthew Walker,4.37,2017,https://www.goodreads.com/book/show/34466963-why-we-sleep
non-fiction,the body keeps the score brain mind and body in the healing of trauma,Bessel van der Kolk,4.36,2014,https://www.goodreads.com/book/show/18693771-the-body-keeps-the-score
non-fiction,what if serious scientific answers to absurd hypothetical questions,Randall Munroe,4.14,2014,https://www.goodreads.com/book/show/21413662-what-if
non-fiction,hillbilly elegy a memoir of a family and culture in crisis,J.D. Vance,3.84,2016,https://www.goodreads.com/book/show/27161156-hillbilly-elegy
non-fiction,tuesdays with morrie an old man a young man and lifes greatest lesson,Mitch Albom,4.2,1997,https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie
history,a peoples history of the united states 1492 present,Howard Zinn,4.09,1980,https://www.goodreads.com/book/show/2767.A_People_s_History_of_the_United_States
history,1776,David McCullough,4.1,2005,https://www.goodreads.com/book/show/1067.1776
