Shelf,Title,Author,Rating,Publication Year,Link
romance,"Red, White & Royal Blue",Casey McQuiston,4.05,2019,https://www.goodreads.com/book/show/41150487-red-white-royal-blue
romance,People We Meet on Vacation,Emily Henry,3.84,2021,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation
romance,The Fault in Our Stars,John Green,4.12,2012,https://www.goodreads.com/book/show/25856606-the-fault-in-our-stars
romance,The Hating Game,Sally  Thorne,3.86,2016,https://www.goodreads.com/book/show/27213238-the-hating-game
romance,"The Unhoneymooners (Unhoneymooners, #1)",Christina Lauren,3.9,2019,https://www.goodreads.com/book/show/42201431-the-unhoneymooners
romance,Happy Place,Emily Henry,3.95,2023,https://www.goodreads.com/book/show/61718053-happy-place
romance,"The Kiss Quotient (The Kiss Quotient, #1)",Helen  Hoang,3.87,2018,https://www.goodreads.com/book/show/36199084-the-kiss-quotient
romance,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,2017,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo
romance,Funny Story,Emily Henry,4.19,2024,https://www.goodreads.com/book/show/194802722-funny-story
romance,"Twisted Love (Twisted, #1)",Ana Huang,3.71,2021,https://www.goodreads.com/book/show/62057697-twisted-love
romance,Ugly Love,Colleen Hoover,4.0,2014,https://www.goodreads.com/book/show/17788401-ugly-love
romance,"The Spanish Love Deception (Love Deception, #1)",Elena  Armas,3.8,2021,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception
romance,"Icebreaker (UCMH, #1)",Hannah  Grace,3.75,2022,https://www.goodreads.com/book/show/61767292-icebreaker
romance,"The Deal (Off-Campus, #1)",Elle Kennedy,4.21,2015,https://www.goodreads.com/book/show/45484397-the-deal
romance,"Love, Theoretically",Ali Hazelwood,4.08,2023,https://www.goodreads.com/book/show/61326735-love-theoretically
romance,"The Duke and I (Bridgertons, #1)",Julia Quinn,3.8,2000,https://www.goodreads.com/book/show/110391.The_Duke_and_I
romance,Love on the Brain,Ali Hazelwood,3.9,2022,https://www.goodreads.com/book/show/59571699-love-on-the-brain
romance,"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,2012,https://www.goodreads.com/book/show/17347634-me-before-you
romance,"The Selection (The Selection, #1)",Kiera Cass,4.07,2012,https://www.goodreads.com/book/show/10507293-the-selection
romance,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,3.9,2021,https://www.goodreads.com/book/show/55659629-it-happened-one-summer
romance,"Better Than the Movies (Better Than the Movies, #1)",Lynn Painter,4.26,2021,https://www.goodreads.com/book/show/55710822-better-than-the-movies
romance,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2011,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey
romance,"New Moon (The Twilight Saga, #2)",Stephenie Meyer,3.62,2006,https://www.goodreads.com/book/show/49041.New_Moon
romance,Love and Other Words,Christina Lauren,4.22,2018,https://www.goodreads.com/book/show/36206591-love-and-other-words
romance,The Song of Achilles,Madeline Miller,4.31,2011,https://www.goodreads.com/book/show/13623848-the-song-of-achilles
romance,"Eclipse (The Twilight Saga, #3)",Stephenie Meyer,3.74,2007,https://www.goodreads.com/book/show/428263.Eclipse
romance,Eleanor & Park,Rainbow Rowell,3.93,2012,https://www.goodreads.com/book/show/15745753-eleanor-park
romance,"Outlander (Outlander, #1)",Diana Gabaldon,4.26,1991,https://www.goodreads.com/book/show/10964.Outlander
romance,"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.76,2008,https://www.goodreads.com/book/show/1162543.Breaking_Dawn
romance,"Part of Your World (Part of Your World, #1)",Abby Jimenez,4.26,2022,https://www.goodreads.com/book/show/58684524-part-of-your-world
romance,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.04,2014,https://www.goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before
romance,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,3.79,2019,https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown
romance,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1996,https://www.goodreads.com/book/show/33648131-the-notebook
romance,Jane Eyre,Charlotte Brontë,4.16,1847,https://www.goodreads.com/book/show/10210.Jane_Eyre
romance,"Just for the Summer (Part of Your World, #3)",Abby Jimenez,4.35,2024,https://www.goodreads.com/book/show/195820807-just-for-the-summer
romance,"The Viscount Who Loved Me (Bridgertons, #2)",Julia Quinn,3.99,2000,https://www.goodreads.com/book/show/861326.The_Viscount_Who_Loved_Me
romance,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.42,2018,https://www.goodreads.com/book/show/40495957-heartstopper
romance,"Twisted Games (Twisted, #2)",Ana Huang,4.08,2021,https://www.goodreads.com/book/show/62056013-twisted-games
romance,The Flatshare,Beth O'Leary,3.98,2019,https://www.goodreads.com/book/show/36478784-the-flatshare
romance,"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,3.81,2021,https://www.goodreads.com/book/show/74045390-the-fine-print
fiction,1984,George Orwell,4.2,1949,https://www.goodreads.com/book/show/61439040-1984
fiction,To Kill a Mockingbird,Harper Lee,4.26,1960,https://www.goodreads.com/book/show/56916837-to-kill-a-mockingbird
fiction,The Great Gatsby,F. Scott Fitzgerald,3.93,1925,https://www.goodreads.com/book/show/41733839-the-great-gatsby
fiction,Animal Farm,George Orwell,4.01,1945,https://www.goodreads.com/book/show/170448.Animal_Farm
fiction,The Catcher in the Rye,J.D. Salinger,3.8,1951,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
fiction,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,2008,https://www.goodreads.com/book/show/2767052-the-hunger-games
fiction,The Alchemist,Paulo Coelho,3.92,1988,https://www.goodreads.com/book/show/18144590-the-alchemist
fiction,The Handmaid's Tale: The Seminal Work of Dystopian Feminist Fiction,Margaret Atwood,4.15,1985,https://www.goodreads.com/book/show/34454589-the-handmaid-s-tale
fiction,The Kite Runner,Khaled Hosseini,4.35,2003,https://www.goodreads.com/book/show/17165596-the-kite-runner
fiction,Fahrenheit 451,Ray Bradbury,3.97,1953,https://www.goodreads.com/book/show/13079982-fahrenheit-451
fiction,Lord of the Flies,William Golding,3.7,1954,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
fiction,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.93,2003,https://www.goodreads.com/book/show/55019161-the-da-vinci-code
fiction,Brave New World,Aldous Huxley,3.99,1932,https://www.goodreads.com/book/show/5129.Brave_New_World
fiction,The Book Thief,Markus Zusak,4.39,2005,https://www.goodreads.com/book/show/19063.The_Book_Thief
fiction,The Midnight Library,Matt Haig,3.98,2020,https://www.goodreads.com/book/show/52578297-the-midnight-library
fiction,Of Mice and Men,John Steinbeck,3.89,1937,https://www.goodreads.com/book/show/890.Of_Mice_and_Men
fiction,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.35,2009,https://www.goodreads.com/book/show/6148028-catching-fire
fiction,Where the Crawdads Sing,Delia Owens,4.37,2018,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing
fiction,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1969,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
fiction,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.17,2005,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo
fiction,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.12,2010,https://www.goodreads.com/book/show/7260188-mockingjay
fiction,Life of Pi,Yann Martel,3.94,2001,https://www.goodreads.com/book/show/4214.Life_of_Pi
fiction,The Picture of Dorian Gray,Oscar Wilde,4.13,1890,https://www.goodreads.com/book/show/489732.The_Picture_of_Dorian_Gray
fiction,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,2003,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
fiction,All the Light We Cannot See,Anthony Doerr,4.31,2014,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see
fiction,Gone Girl,Gillian Flynn,4.14,2012,https://www.goodreads.com/book/show/19288043-gone-girl
fiction,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.9,1818,https://www.goodreads.com/book/show/35031085-frankenstein
fiction,The Help,Kathryn Stockett,4.47,2009,https://www.goodreads.com/book/show/4667024-the-help
fiction,One Hundred Years of Solitude,Gabriel García Márquez,4.12,1967,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
fiction,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1979,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy
fiction,"Angels & Demons (Robert Langdon, #1)",Dan    Brown,3.95,2000,https://www.goodreads.com/book/show/960.Angels_Demons
fiction,The Stranger,Albert Camus,4.03,1942,https://www.goodreads.com/book/show/49552.The_Stranger
fiction,The Road,Cormac McCarthy,4.0,2006,https://www.goodreads.com/book/show/6288.The_Road
fiction,Dune (Dune #1),Frank Herbert,4.29,1965,https://www.goodreads.com/book/show/44767458-dune
fiction,A Man Called Ove,Fredrik Backman,4.38,2012,https://www.goodreads.com/book/show/18774964-a-man-called-ove
fiction,Wuthering Heights,Emily Brontë,3.9,1847,https://www.goodreads.com/book/show/32929156-wuthering-heights
fiction,Crime and Punishment,Fyodor Dostoevsky,4.28,1866,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
non-fiction,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.34,2011,https://www.goodreads.com/book/show/23692271-sapiens
non-fiction,The Diary of a Young Girl,Anne Frank,4.2,1947,https://www.goodreads.com/book/show/127441416-the-diary-of-a-young-girl
non-fiction,Educated,Tara Westover,4.47,2018,https://www.goodreads.com/book/show/35133922-educated
non-fiction,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.08,2012,https://www.goodreads.com/book/show/8520610-quiet
non-fiction,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.33,2018,https://www.goodreads.com/book/show/40121378-atomic-habits
non-fiction,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.13,2010,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks
non-fiction,I’m Glad My Mom Died,Jennette McCurdy,4.44,2022,https://www.goodreads.com/book/show/59366244-i-m-glad-my-mom-died
non-fiction,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,4.01,2005,https://www.goodreads.com/book/show/1202.Freakonomics
non-fiction,Outliers: The Story of Success,Malcolm Gladwell,4.19,2008,https://www.goodreads.com/book/show/3228917-outliers
non-fiction,Becoming,Michelle Obama,4.44,2018,https://www.goodreads.com/book/show/38746485-becoming
non-fiction,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,4.0,2003,https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
non-fiction,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,3.87,2016,https://www.goodreads.com/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck
non-fiction,A Short History of Nearly Everything,Bill Bryson,4.22,2003,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
non-fiction,Man's Search for Meaning,Viktor E. Frankl,4.37,1946,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
non-fiction,We Should All Be Feminists,Chimamanda Ngozi Adichie,4.39,2012,https://www.goodreads.com/book/show/22738563-we-should-all-be-feminists
non-fiction,Born a Crime: Stories From a South African Childhood,Trevor Noah,4.49,2016,https://www.goodreads.com/book/show/29780253-born-a-crime
non-fiction,"Thinking, Fast and Slow",Daniel Kahneman,4.17,2011,https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow
non-fiction,Into the Wild,Jon Krakauer,4.02,1996,https://www.goodreads.com/book/show/60869516-into-the-wild
non-fiction,Night,Elie Wiesel,4.38,1956,https://www.goodreads.com/book/show/1617.Night
non-fiction,When Breath Becomes Air,Paul Kalanithi,4.41,2016,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air
non-fiction,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.04,1997,https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel
non-fiction,In Cold Blood,Truman Capote,4.09,1966,https://www.goodreads.com/book/show/168642.In_Cold_Blood
non-fiction,Between the World and Me,Ta-Nehisi Coates,4.4,2015,https://www.goodreads.com/book/show/25489625-between-the-world-and-me
non-fiction,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.01,2000,https://www.goodreads.com/book/show/2612.The_Tipping_Point
non-fiction,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,4.34,2019,https://www.goodreads.com/book/show/41104077-invisible-women
non-fiction,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,3.96,2005,https://www.goodreads.com/book/show/40102.Blink
non-fiction,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.14,2017,https://www.goodreads.com/book/show/193388249-killers-of-the-flower-moon
non-fiction,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.26,1997,https://www.goodreads.com/book/show/1898.Into_Thin_Air
non-fiction,Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.06,2003,https://www.goodreads.com/book/show/56769575-stiff
non-fiction,A Brief History of Time,Stephen Hawking,4.21,1988,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time
non-fiction,The Glass Castle,Jeannette Walls,4.33,2005,https://www.goodreads.com/book/show/7445.The_Glass_Castle
non-fiction,On Writing: A Memoir of the Craft,Stephen        King,4.34,2000,https://www.goodreads.com/book/show/10569.On_Writing
non-fiction,Bossypants,Tina Fey,3.96,2011,https://www.goodreads.com/book/show/9418327-bossypants
non-fiction,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,3.88,2010,https://www.goodreads.com/book/show/22318578-the-life-changing-magic-of-tidying-up
